x,CDF(x)
-3.9477,3.94527968438408e-05
-3.9476,3.94692746876085e-05
-3.9475,3.94857590374542e-05
-3.9474,3.95022498957813e-05
-3.9473,3.95187472649948e-05
-3.9472,3.95352511475004e-05
-3.9471,3.95517615457042e-05
-3.947,3.95682784620137e-05
-3.9469,3.95848018988367e-05
-3.9468,3.96013318585821e-05
-3.9467,3.96178683436597e-05
-3.9466,3.963441135648e-05
-3.9465,3.96509608994541e-05
-3.9464,3.96675169749945e-05
-3.9463,3.96840795855137e-05
-3.9462,3.97006487334259e-05
-3.9461,3.97172244211454e-05
-3.946,3.97338066510878e-05
-3.9459,3.97503954256693e-05
-3.9458,3.9766990747307e-05
-3.9457,3.97835926184187e-05
-3.9456,3.98002010414234e-05
-3.9455,3.98168160187402e-05
-3.9454,3.98334375527898e-05
-3.9453,3.98500656459932e-05
-3.9452,3.98667003007725e-05
-3.9451,3.98833415195506e-05
-3.945,3.98999893047509e-05
-3.9449,3.99166436587983e-05
-3.9448,3.99333045841178e-05
-3.9447,3.99499720831356e-05
-3.9446,3.99666461582787e-05
-3.9445,3.99833268119749e-05
-3.9444,4.00000140466528e-05
-3.9443,4.00167078647419e-05
-3.9442,4.00334082686723e-05
-3.9441,4.00501152608752e-05
-3.944,4.00668288437826e-05
-3.9439,4.00835490198271e-05
-3.9438,4.01002757914423e-05
-3.9437,4.01170091610628e-05
-3.9436,4.01337491311236e-05
-3.9435,4.0150495704061e-05
-3.9434,4.01672488823116e-05
-3.9433,4.01840086683133e-05
-3.9432,4.02007750645046e-05
-3.9431,4.02175480733249e-05
-3.943,4.02343276972146e-05
-3.9429,4.02511139386143e-05
-3.9428,4.02679067999662e-05
-3.9427,4.0284706283713e-05
-3.9426,4.0301512392298e-05
-3.9425,4.03183251281658e-05
-3.9424,4.03351444937615e-05
-3.9423,4.03519704915311e-05
-3.9422,4.03688031239217e-05
-3.9421,4.03856423933806e-05
-3.942,4.04024883023565e-05
-3.9419,4.04193408532988e-05
-3.9418,4.04362000486576e-05
